1c2d0ebe-d085-41c4-9b9f-3c7faf8446ac 200 ::1 GET /call-logs 21.306 [Tue, 19 Oct 2021 10:36:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
dc91c6fb-bcd5-4cb2-9ce5-90715aee8ee7 200 ::1 GET /imei-check 12.605 [Tue, 19 Oct 2021 10:36:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
98b0fd15-44e6-4fcb-ad6b-ad80c77408dc 304 ::1 GET /imei-check 18.056 [Tue, 19 Oct 2021 10:36:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7e2b4b2b-fd96-4cd4-a5a3-a465c28be0e2 304 ::1 GET /imei-check 10.093 [Tue, 19 Oct 2021 10:37:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7c832e0e-feac-486a-85c3-9197d25fa382 200 ::1 GET /OldImei-check 12.699 [Tue, 19 Oct 2021 10:37:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
cde7c398-b188-48ad-b7b0-53d984692723 200 ::1 GET /OldImei-check 23.816 [Tue, 19 Oct 2021 10:45:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c0f989cd-51b7-4ad0-86d3-ee133d6e3dfe 200 ::1 GET /imei-check 10.445 [Tue, 19 Oct 2021 10:45:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
df3fff97-3d5d-4082-a990-85680958dc01 200 ::1 GET /call-logs 8.845 [Tue, 19 Oct 2021 10:45:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
ce3802ca-6860-4d98-bf76-473221e7398f 304 ::1 GET /OldImei-check 9.818 [Tue, 19 Oct 2021 10:45:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
b23d6bc5-dafb-4486-9c5c-38abec90ba39 200 ::1 GET /oldCall-logs 10.068 [Tue, 19 Oct 2021 10:45:37 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
