f95a1eb9-6ef7-4352-a40e-12ca2ca580a0 - ::1 POST /imei-check - [Fri, 15 Oct 2021 14:35:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
2561bfda-d663-4a7d-a7fa-6d6bf534f3e5 304 ::1 GET /imei-check 11.557 [Fri, 15 Oct 2021 14:38:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7c0d3e4a-3344-4a84-9272-817065912326 304 ::1 GET /imei-check 17.944 [Fri, 15 Oct 2021 14:38:59 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
1256a5f8-1cd6-437a-9836-1724b15aea3c 200 ::1 POST /imei-check 3923.478 [Fri, 15 Oct 2021 14:39:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
0e6661d3-a7c2-4691-9c6b-a249d3cb2e83 200 ::1 GET /imei-check 19.096 [Fri, 15 Oct 2021 14:40:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
fa314dcd-3292-4842-8b98-a019a721c960 - ::1 POST /imei-check - [Fri, 15 Oct 2021 14:40:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
e377ee43-da15-4b31-b251-f8aecfb59e06 200 ::1 GET /call-logs 14.019 [Fri, 15 Oct 2021 14:44:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
ba797503-1356-450f-a6fb-d02c13fb188c 200 ::1 POST /call-logs 3702.718 [Fri, 15 Oct 2021 14:44:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
4d371570-d2aa-4644-bce5-2db69c079041 404 ::1 GET /imei 12.798 [Fri, 15 Oct 2021 15:03:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
3dd76da1-2320-4a6b-91fc-04594deca400 404 ::1 GET /imei 8.553 [Fri, 15 Oct 2021 15:04:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a13ce5f4-2f18-4527-8b16-145aa565f48a 200 ::1 GET /call-logs 20.087 [Fri, 15 Oct 2021 15:05:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
fd7aed6a-6894-443e-a0dc-ac1851618a9e 200 ::1 GET /imei-check 8.379 [Fri, 15 Oct 2021 15:05:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
