200 ::ffff:172.25.165.27 GET /admin/admin-dashboard 19.103 [Wed, 16 Nov 2022 11:44:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /admin/admin-dashboard 17.485 [Wed, 16 Nov 2022 11:45:01 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.165.27 GET /logout 10.691 [Wed, 16 Nov 2022 11:46:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /login 14.021 [Wed, 16 Nov 2022 11:46:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.165.27 POST /login 142.523 [Wed, 16 Nov 2022 11:46:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 13.675 [Wed, 16 Nov 2022 11:46:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 14.851 [Wed, 16 Nov 2022 11:57:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 14.737 [Wed, 16 Nov 2022 11:59:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 18.331 [Wed, 16 Nov 2022 12:04:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 16.336 [Wed, 16 Nov 2022 12:17:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.155 [Wed, 16 Nov 2022 12:17:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 15.663 [Wed, 16 Nov 2022 12:17:43 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 21.023 [Wed, 16 Nov 2022 13:21:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.649 [Wed, 16 Nov 2022 13:21:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.584 [Wed, 16 Nov 2022 13:21:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 15.746 [Wed, 16 Nov 2022 13:33:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.125 [Wed, 16 Nov 2022 13:33:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.980 [Wed, 16 Nov 2022 13:33:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.96 GET / 21.018 [Wed, 16 Nov 2022 13:46:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.96 GET / 17.854 [Wed, 16 Nov 2022 13:46:06 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.96 GET / 19.413 [Wed, 16 Nov 2022 13:46:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 15.118 [Wed, 16 Nov 2022 13:56:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /call-logs 17.898 [Wed, 16 Nov 2022 13:58:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET /call-logs 16.221 [Wed, 16 Nov 2022 13:58:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
