200 ::1 GET /oldCall-logs 14.917 [Wed, 09 Nov 2022 14:07:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.953 [Wed, 09 Nov 2022 14:07:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 10.221 [Wed, 09 Nov 2022 14:09:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 13.455 [Wed, 09 Nov 2022 14:09:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.500 [Wed, 09 Nov 2022 14:09:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 5.239 [Wed, 09 Nov 2022 14:09:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.572 [Wed, 09 Nov 2022 14:09:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 8.398 [Wed, 09 Nov 2022 14:12:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 9.036 [Wed, 09 Nov 2022 14:12:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.999 [Wed, 09 Nov 2022 14:12:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 2.315 [Wed, 09 Nov 2022 14:13:06 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 19.109 [Wed, 09 Nov 2022 14:26:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.172 [Wed, 09 Nov 2022 14:26:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
